Start,End,Label,Start Sample,End Sample,len,mean,std,rms,mav,iEMG,wl,zcr,spec_entropy,median_freq,skew,kurtosis,file
1.310133,1.31941,PSW,14444.22086720867,14546.495257452574,102,-0.07256438,0.0015147375,0.07258018,0.07256438,7.4015665,0.05036778,0,2.4284198,1080.8823529411764,-0.4059085255527994,-0.7162777111111995,.\Spontanaktivität\filtered_BA0803901_segment_2.wav
1.403586,1.421108,PSW,15474.540650406503,15667.725609756097,193,-0.13034569,0.0023148414,0.13036624,0.13034569,25.156717,0.11014278,0,1.9652344,114.24870466321242,0.0950619770090367,-1.0821228583485163,.\Spontanaktivität\filtered_BA0803901_segment_2.wav
1.33487,1.344491,Fibrillation,14716.952574525743,14823.014905149052,107,-0.081284694,0.004373564,0.08140228,0.081284694,8.697462,0.06600086,0,2.3583353,618.2242990654206,-0.6375542950514648,0.1252083260303051,.\Spontanaktivität\filtered_BA0803901_segment_2.wav
1.515249,1.525556,Fibrillation,16705.621273712735,16819.25948509485,114,-0.048241824,0.0056348774,0.048569806,0.048241824,5.499568,0.07252069,0,1.3011427,193.42105263157893,-0.9046620462517264,-0.6525196983854329,.\Spontanaktivität\filtered_BA0803901_segment_2.wav
1.872913,1.879784,Fibrillation,20648.867208672087,20724.62601626016,76,0.0218875,0.0016848646,0.021952255,0.0218875,1.66345,0.039277148,0,2.0231516,580.2631578947369,0.5037995649765636,-0.585770653566017,.\Spontanaktivität\filtered_BA0803901_segment_2.wav
1.900055,1.91105,PSW,20948.114498644987,21069.32859078591,121,0.009963422,0.0038082222,0.010666412,0.009963422,1.205574,0.062073506,0,1.8688884,182.2314049586777,-0.6848052365107191,-0.205587153747905,.\Spontanaktivität\filtered_BA0803901_segment_2.wav
1.7372,1.751286,PSW,19152.630758807587,19307.93631436314,155,-0.035729513,0.0016179819,0.03576613,0.035729513,5.5380745,0.08601907,0,2.7420785,853.5483870967741,-0.0233663542707024,-0.6226779973113712,.\Spontanaktivität\filtered_BA0803901_segment_2.wav
1.772932,1.78427,PSW,19546.57655826558,19671.57859078591,125,-0.02148845,0.0015647666,0.021545347,0.02148845,2.6860564,0.06790306,0,2.6078024,1058.4,0.1894930872652472,0.6171623405582221,.\Spontanaktivität\filtered_BA0803901_segment_2.wav
1.789423,1.799043,PSW,19728.397696476964,19834.46002710027,106,-0.015113531,0.0015836316,0.015196271,0.015113531,1.6020342,0.07024424,0,2.5879655,1456.132075471698,0.0213308728088656,-0.7987601499282091,.\Spontanaktivität\filtered_BA0803901_segment_2.wav
1.82172,1.830653,PSW,20084.464092140923,20182.95054200542,98,-0.00900259,0.0015278407,0.009131315,0.00900259,0.88225377,0.05612869,0,2.5002174,900.0,-0.6712761217365545,0.0715778368941619,.\Spontanaktivität\filtered_BA0803901_segment_2.wav
1.624163,1.633096,PSW,17906.398373983742,18004.88482384824,98,-0.05562285,0.0020774978,0.055661634,0.05562285,5.4510393,0.06492867,0,2.536316,900.0,-0.1142319416663544,-0.3492868169365852,.\Spontanaktivität\filtered_BA0803901_segment_2.wav
1.594959,1.60183,PSW,17584.42344173442,17660.182249322494,76,-0.05332469,0.001444612,0.053344253,0.05332469,4.052676,0.043745182,0,2.3017764,1160.5263157894738,0.8741096443357665,0.5633327359145404,.\Spontanaktivität\filtered_BA0803901_segment_2.wav
1.573657,1.588431,PSW,17349.57113821138,17512.452574525745,163,-0.039721835,0.0028918383,0.039826963,0.039721835,6.474659,0.10971519,0,2.221593,405.8282208588956,-0.5325103925895539,-0.2972101339254185,.\Spontanaktivität\filtered_BA0803901_segment_2.wav
1.460276,1.468178,PSW,16099.550813008129,16186.673441734418,87,-0.10414335,0.0015748198,0.10415527,0.10414335,9.060472,0.04220186,0,1.81625,506.8965517241379,-0.206310057941436,0.1969449662708258,.\Spontanaktivität\filtered_BA0803901_segment_2.wav
1.879784,1.886999,PSW,20724.62601626016,20804.17276422764,80,0.01803441,0.0014659915,0.018093897,0.01803441,1.4427528,0.043469653,0,2.5076718,1102.5,-0.1935231831094414,-0.2374501092744934,.\Spontanaktivität\filtered_BA0803901_segment_2.wav
2.05682,2.07131,PSW,22676.4512195122,22836.2012195122,160,-0.008291379,0.0018987292,0.008506006,0.008291379,1.3266206,0.092916444,0,3.0448961,964.6875,-1.0923821007847805,1.490018703070386,.\Spontanaktivität\filtered_BA0803901_segment_2.wav
2.213028,2.228224,PSW,24398.634146341465,24566.176829268294,168,0.01661829,0.0026954396,0.016835468,0.01661829,2.791873,0.08507262,0,1.9449701,131.25,-0.1488395509637885,-1.005804118204105,.\Spontanaktivität\filtered_BA0803901_segment_2.wav
2.699673,2.714162,PSW,29763.896341463413,29923.646341463413,160,-0.004170022,0.0019713922,0.0046125343,0.004223018,0.6756829,0.08600949,2,2.2765696,275.625,0.4019683640995479,-0.1909580271401356,.\Spontanaktivität\filtered_BA0803901_segment_2.wav
2.537811,2.552301,PSW,27979.37195121952,28139.12195121952,160,0.017115425,0.0035050602,0.017470641,0.017115425,2.7384682,0.08211726,0,1.7251906,137.8125,0.380757092656899,-0.8979292853545586,.\Spontanaktivität\filtered_BA0803901_segment_2.wav
2.602485,2.615208,PSW,28692.40243902439,28832.67073170732,140,-0.0008085665,0.0021897603,0.0023342727,0.002018515,0.28259212,0.07863933,12,2.3702712,472.5,0.0325672297255265,-1.0691475426290449,.\Spontanaktivität\filtered_BA0803901_segment_2.wav
2.184401,2.19465,PSW,24083.03048780488,24196.024390243903,113,0.008841375,0.0037827643,0.0096166115,0.008841375,0.9990754,0.06816476,0,1.7036364,390.2654867256637,0.2866853823086032,-0.9981044454779822,.\Spontanaktivität\filtered_BA0803901_segment_2.wav
2.375596,2.389026,PSW,26190.9512195122,26339.01219512195,149,-0.0019012849,0.0012219677,0.0022601082,0.0019309797,0.28771597,0.079494245,4,2.953836,1183.8926174496644,-0.4952744361820715,0.251840336036857,.\Spontanaktivität\filtered_BA0803901_segment_2.wav
2.301027,2.315516,PSW,25368.823170731703,25528.573170731703,160,-0.0065396517,0.002337462,0.006944837,0.0065396517,1.0463443,0.09070997,0,2.8205466,964.6875,0.1192646178661694,-0.6682628374313109,.\Spontanaktivität\filtered_BA0803901_segment_2.wav
2.317637,2.327532,PSW,25551.9512195122,25661.048780487807,110,-0.0057568406,0.0021370668,0.0061407057,0.0057568406,0.63325244,0.06416945,0,2.3704677,601.3636363636364,-0.1802035104756967,-0.9593408751598962,.\Spontanaktivität\filtered_BA0803901_segment_2.wav
2.004516,2.014411,Fibrillation,22099.79268292683,22208.89024390244,109,-0.01407642,0.0017575707,0.01418572,0.01407642,1.5343298,0.06687434,0,2.7121172,1011.467889908257,-0.2734425833068937,-0.3049135684790505,.\Spontanaktivität\filtered_BA0803901_segment_2.wav
2.019712,2.028194,PSW,22267.33536585365,22360.84756097561,93,-0.015898092,0.0011954785,0.015942976,0.015898092,1.4785225,0.045490697,0,2.58185,1422.5806451612905,0.2978346942096787,-0.873252395403675,.\Spontanaktivität\filtered_BA0803901_segment_2.wav
1.965994,1.974476,PSW,21675.09146341464,21768.603658536587,93,-0.005662749,0.0013920291,0.005831336,0.005662749,0.52663565,0.054466367,0,2.3657694,711.2903225806452,-0.2944583765665417,-0.3416505372665752,.\Spontanaktivität\filtered_BA0803901_segment_2.wav
2.626517,2.638533,Fibrillation,28957.353658536587,29089.829268292684,132,-0.0071531823,0.0058509344,0.00924129,0.0071696006,0.9463873,0.108166195,6,1.3255745,167.04545454545453,-1.0149386921516574,0.4545655873531045,.\Spontanaktivität\filtered_BA0803901_segment_2.wav
